date,Close,High,Low,Open,Volume,target,return_1d,return_5d,return_20d,sma_20,sma_50,price_to_sma20,price_to_sma50,sma_cross,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_position,bb_width,volume_sma20,volume_ratio,ticker,rsi_14_lag1,rsi_14_lag2,rsi_14_lag3,macd_hist_lag1,macd_hist_lag2,macd_hist_lag3,bb_position_lag1,bb_position_lag2,bb_position_lag3,return_1d_lag1,return_1d_lag2,return_1d_lag3,volume_ratio_lag1,volume_ratio_lag2,volume_ratio_lag3,sentiment_mean,sentiment_count,sentiment_std
2019-03-19,44.44721984863281,45.033401481377794,44.30186611779311,44.880899504425805,126585600,1,-0.0079249714423114,0.0310647541653821,0.0912657414918278,42.23403816223144,39.88206756591797,1.0524027960078075,1.1144662892707218,1,73.52700049551677,1.1801854478324216,0.9848424770451012,0.1953429707873204,44.77882921889429,39.6892471055686,0.934845462185737,0.1205090096707148,103187480.0,1.226753478232049,AAPL,78.72447913622571,76.98605329860708,75.74166644963715,0.2076248688368638,0.1600892124482256,0.1040968330019698,1.072996986790234,1.096520710950295,1.0904194148174058,0.0102085298044962,0.0130085654644218,0.0111164344241641,1.0419903040910157,1.556514750310363,0.9734271057722396,-0.08823478862028285,3,0.2
2019-03-20,44.83562850952149,45.15254744475512,44.01831049003808,44.375737368520994,124140800,1,0.0087386491711161,0.0354961705624743,0.0937627723939849,42.42621479034424,40.076801986694335,1.0567906830973195,1.118742671244255,1,80.39671599248376,1.2263592597741848,1.033145833590918,0.1932134261832667,45.15029964765845,39.70212993303003,0.9422427797555446,0.1284151730610755,104171640.0,1.191694783724246,AAPL,73.52700049551677,78.72447913622571,76.98605329860708,0.1953429707873204,0.2076248688368638,0.1600892124482256,0.934845462185737,1.072996986790234,1.096520710950295,-0.0079249714423114,0.0102085298044962,0.0130085654644218,1.226753478232049,1.0419903040910157,1.556514750310363,0.0957622590256568,3,0.2
2019-03-21,46.4869499206543,46.78242418557876,45.22880730216157,45.2788486767774,204136800,0,0.0368305623457945,0.0618303098224755,0.1404771047321993,42.71251392364502,40.29118087768555,1.0883683878630193,1.1537748189058452,1,83.75827641132119,1.38028906249955,1.1025744793726444,0.2777145831269054,45.86896791475813,39.55605993253191,1.097891812717067,0.147799963109441,110928540.0,1.8402549965951052,AAPL,80.39671599248376,73.52700049551677,78.72447913622571,0.1932134261832667,0.1953429707873204,0.2076248688368638,0.9422427797555446,0.934845462185737,1.072996986790234,0.0087386491711161,-0.0079249714423114,0.0102085298044962,1.191694783724246,1.226753478232049,1.0419903040910157,0.5230409436502518,3,0.2
2019-03-22,45.52426910400391,47.10647854779484,45.45993125023579,46.54650833819733,169630800,0,-0.0207086250720585,0.0264881260599121,0.1045266017995565,42.92792282104492,40.47415824890137,1.0604815260636409,1.1247737092899175,1,73.0580832550131,1.408364494503168,1.1637324823987492,0.2446320121044187,46.23863509211929,39.61721054997056,0.8921129458520474,0.1542451650817507,115627440.0,1.4670462305487348,AAPL,83.75827641132119,80.39671599248376,73.52700049551677,0.2777145831269054,0.1932134261832667,0.1953429707873204,1.097891812717067,0.9422427797555446,0.934845462185737,0.0368305623457945,0.0087386491711161,-0.0079249714423114,1.8402549965951052,1.191694783724246,1.226753478232049,-0.2554456771193447,3,0.2
2019-03-25,44.97382736206055,45.74586697854144,44.46389856952138,45.63387294895227,175381200,1,-0.0120911714295913,0.0038290632465103,0.0832804998798153,43.10079784393311,40.64380142211914,1.0434569569897436,1.1065359486178603,1,68.898294215724,1.3704012952113374,1.2050662449612668,0.1653350502500705,46.46185286820116,39.73974281966506,0.7786371399164072,0.1559625432660593,120021820.0,1.461244297078648,AAPL,73.0580832550131,83.75827641132119,80.39671599248376,0.2446320121044187,0.2777145831269054,0.1932134261832667,0.8921129458520474,1.097891812717067,0.9422427797555446,-0.0207086250720585,0.0368305623457945,0.0087386491711161,1.4670462305487348,1.8402549965951052,1.191694783724246,-0.14879663363040932,3,0.2
2019-03-26,44.50918197631836,45.96033805607303,43.98257500926579,45.66963053267575,199202000,1,-0.0103314619412213,0.0013940608185745,0.0714739952682854,43.24924983978271,40.81131706237793,1.0291318841645365,1.0906088109895704,1,67.09380893501692,1.287975210348428,1.2216480380386991,0.0663271723097287,46.58222452336464,39.91627515620078,0.6890101570140946,0.1541286702511127,126567880.0,1.573874825113607,AAPL,68.898294215724,73.0580832550131,83.75827641132119,0.1653350502500705,0.2446320121044187,0.2777145831269054,0.7786371399164072,0.8921129458520474,1.097891812717067,-0.0120911714295913,-0.0207086250720585,0.0368305623457945,1.461244297078648,1.4670462305487348,1.8402549965951052,-0.1329594489856443,3,0.2
2019-03-27,44.90950393676758,45.21688950575341,44.45199788928864,44.97622334144566,119393600,1,0.0089941432907532,0.0016476946950885,0.0777722126773272,43.41128368377686,40.99770614624023,1.0345122310573511,1.0954150404555276,1,72.46124762343075,1.2406531041201705,1.2254490512549934,0.0152040528651768,46.7358344427755,40.08673292477822,0.7253267225557395,0.1531652822439365,126970480.0,0.940325656798336,AAPL,67.09380893501692,68.898294215724,73.0580832550131,0.0663271723097287,0.1653350502500705,0.2446320121044187,0.6890101570140946,0.7786371399164072,0.8921129458520474,-0.0103314619412213,-0.0120911714295913,-0.0207086250720585,1.573874825113607,1.461244297078648,1.4670462305487348,0.09262503087521874,3,0.2
2019-03-28,44.96907043457031,45.16922862786753,44.68551117609868,45.02387487503479,83121600,1,0.0013263673071652,-0.0326517331998498,0.0899217135824572,43.59678764343262,41.17071830749512,1.0314766950804095,1.0922585828769402,1,72.33673641560397,1.1941906263686803,1.219197366277731,-0.0250067399090505,46.828412026609,40.36516326025624,0.7123208994030532,0.1482505733957758,125483480.0,0.6624107013927252,AAPL,72.46124762343075,67.09380893501692,68.898294215724,0.0152040528651768,0.0663271723097287,0.1653350502500705,0.7253267225557395,0.6890101570140946,0.7786371399164072,0.0089941432907532,-0.0103314619412213,-0.0120911714295913,0.940325656798336,1.573874825113607,1.461244297078648,0.015502510116259596,3,0.2
2019-03-29,45.26215362548828,45.2931317832796,44.92617150707696,45.233560640409536,94256000,1,0.0065174393885771,-0.0057577086612153,0.0856147018183302,43.7752628326416,41.34071846008301,1.0339664618012976,1.0948564831835628,1,68.03778166516751,1.1675592459087554,1.2088697422039358,-0.0413104962951804,46.958004681149696,40.59252098413351,0.7335864584090692,0.1454128036044522,125019040.0,0.7539331609009315,AAPL,72.33673641560397,72.46124762343075,67.09380893501692,-0.0250067399090505,0.0152040528651768,0.0663271723097287,0.7123208994030532,0.7253267225557395,0.6890101570140946,0.0013263673071652,0.0089941432907532,-0.0103314619412213,0.6624107013927252,0.940325656798336,1.573874825113607,0.07319302243260566,3,0.2
2019-04-01,45.56954193115234,45.67438408651486,44.88804792365926,45.66485430363971,111448000,1,0.0067912876662361,0.0132458054836208,0.0875176351585773,43.95862255096436,41.51250038146973,1.0366462661181053,1.097730599515841,1,67.26830913168445,1.1579096902064236,1.1986777318044337,-0.0407680415980098,47.1094278652008,40.80781723672792,0.7556361341827894,0.143353232262157,125104200.0,0.8908413946134502,AAPL,68.03778166516751,72.33673641560397,72.46124762343075,-0.0413104962951804,-0.0250067399090505,0.0152040528651768,0.7335864584090692,0.7123208994030532,0.7253267225557395,0.0065174393885771,0.0013263673071652,0.0089941432907532,0.7539331609009315,0.6624107013927252,0.940325656798336,0.07161951411448704,3,0.2
