Date,Close,High,Low,Open,Volume,target,return_1d,return_5d,return_20d,sma_20,sma_50,price_to_sma20,price_to_sma50,sma_cross,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_position,bb_width,volume_sma20,volume_ratio,ticker
2019-03-14,43.7800178527832,43.86818560569597,43.50122537515146,43.820525788582664,94318000,1,0.011116434424164101,0.06510121259103441,0.07962118380015415,41.655958557128905,39.33775520324707,1.0509905273873668,1.1129261857110102,1,75.74166644963715,0.9481750470289683,0.8440782140269985,0.10409683300196981,43.45473011032316,39.85718700393465,1.0904194148174058,0.08636322943942527,96892720.0,0.9734271057722397,AAPL
2019-03-15,44.34953308105469,44.63785907607292,43.78241814804206,44.04691422627257,156171600,1,0.013008565464421862,0.0763983152730987,0.08969565191717566,41.83848476409912,39.47536163330078,1.0600176686874248,1.1234737630279779,1,76.98605329860708,1.0441897295872806,0.884100517139055,0.1600892124482256,43.94323005697865,39.73373947121959,1.096520710950295,0.10061288331768523,100334160.0,1.556514750310363,AAPL
2019-03-18,44.802276611328125,44.89044075986763,44.27089927495176,44.27328444822138,104879200,1,0.010208529804496269,0.050978504183234685,0.10327447022450542,42.04817562103271,39.69666732788086,1.065498703561298,1.1286155646587832,1,78.72447913622571,1.1436316031851348,0.936006734348271,0.20762486883686382,44.45141774427938,39.64493349778604,1.072996986790234,0.11430898429013202,100652760.0,1.0419903040910155,AAPL
2019-03-19,44.44721984863281,45.033401481377794,44.30186611779311,44.880899504425805,126585600,1,-0.007924971442311413,0.031064754165382125,0.09126574149182787,42.23403816223144,39.88206756591797,1.0524027960078075,1.1144662892707218,1,73.52700049551677,1.1801854478324216,0.9848424770451012,0.19534297078732044,44.77882921889429,39.6892471055686,0.934845462185737,0.12050900967071489,103187480.0,1.226753478232049,AAPL
2019-03-20,44.835628509521484,45.152547444755115,44.018310490038075,44.375737368520994,124140800,1,0.008738649171116109,0.03549617056247434,0.0937627723939849,42.42621479034424,40.076801986694335,1.0567906830973195,1.118742671244255,1,80.39671599248376,1.2263592597741848,1.033145833590918,0.19321342618326676,45.15029964765845,39.70212993303003,0.9422427797555446,0.12841517306107558,104171640.0,1.191694783724246,AAPL
2019-03-21,46.4869499206543,46.782424185578755,45.22880730216157,45.2788486767774,204136800,0,0.036830562345794515,0.061830309822475504,0.14047710473219932,42.71251392364502,40.29118087768555,1.0883683878630193,1.1537748189058452,1,83.75827641132119,1.3802890624995499,1.1025744793726444,0.27771458312690545,45.86896791475813,39.55605993253191,1.097891812717067,0.14779996310944105,110928540.0,1.8402549965951054,AAPL
2019-03-22,45.524269104003906,47.106478547794836,45.45993125023579,46.546508338197334,169630800,0,-0.020708625072058506,0.02648812605991213,0.10452660179955653,42.92792282104492,40.47415824890137,1.0604815260636407,1.1247737092899175,1,73.0580832550131,1.408364494503168,1.1637324823987492,0.24463201210441876,46.23863509211929,39.61721054997056,0.8921129458520474,0.15424516508175076,115627440.0,1.4670462305487348,AAPL
2019-03-25,44.97382736206055,45.745866978541436,44.46389856952138,45.63387294895227,175381200,1,-0.012091171429591374,0.0038290632465103336,0.08328049987981534,43.10079784393311,40.64380142211914,1.0434569569897436,1.1065359486178605,1,68.898294215724,1.3704012952113374,1.2050662449612668,0.16533505025007056,46.461852868201156,39.73974281966506,0.7786371399164072,0.15596254326605935,120021820.0,1.461244297078648,AAPL
2019-03-26,44.50918197631836,45.96033805607303,43.98257500926579,45.66963053267575,199202000,1,-0.010331461941221365,0.0013940608185745162,0.07147399526828546,43.24924983978271,40.81131706237793,1.0291318841645365,1.0906088109895704,1,67.09380893501692,1.2879752103484279,1.2216480380386991,0.06632717230972873,46.582224523364644,39.91627515620078,0.6890101570140946,0.15412867025111276,126567880.0,1.573874825113607,AAPL
2019-03-27,44.90950393676758,45.21688950575341,44.451997889288634,44.97622334144566,119393600,1,0.00899414329075321,0.0016476946950885196,0.07777221267732726,43.41128368377686,40.99770614624023,1.0345122310573511,1.0954150404555276,1,72.46124762343075,1.2406531041201703,1.2254490512549934,0.015204052865176898,46.7358344427755,40.08673292477822,0.7253267225557395,0.15316528224393655,126970480.0,0.9403256567983361,AAPL
